EXPEDIENTE,FECHA DE INGRESO,FECHA DE CIERRE,TIPO DE CONCILIACIÓN,ESTADO PROCESAL,PROVEEDOR,NOMBRE COMERCIAL,GIRO,SECTOR,ODECO,ESTADO,TIPO DE RECLAMACIÓN,MOTIVO DE RECLAMACIÓN,COSTO BIEN O SERVICIO,MONTO RECLAMADO,MONTO RECUPERADO,PROCEDIMIENTO,BIEN O SERVICIO,MEDIO DE INGRESO,TIPO PRODUCTO,MODALIDAD DE COMPRA,MODALIDAD PAGO,PROBLEMA ESPECIAL
PFC.AGS.B.3/000104-2022,01/24/22,04/28/22,Turnada a Concil Person p/seg,Desistimiento,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonía celular,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Entrega del producto o servicio,Negativa a la entrega,450.00,0.00,0,Conciliación personal,Servicio,Escrito,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.AGS.B.3/000124-2022,01/27/22,05/06/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonía celular,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Entrega del producto o servicio,Negativa a la entrega,249.00,0.00,747.69,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.AGS.B.3/000134-2022,01/28/22,04/13/22,Turnada a Concil Person p/seg,Conciliada,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Empresa de larga distancia,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Cobro indebido,Producto o servicio no solicitado o autorizado,6086.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.AGS.B.3/000135-2022,01/28/22,08/12/22,Turnada a Concil Person p/seg,Desistimiento,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Empresa de larga distancia,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Cobro indebido,Producto o servicio no solicitado o autorizado,0.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,Imposición del proveedor,Contado,No problema especial
PFC.AGS.B.3/000142-2022,01/31/22,04/08/22,Turnada a Concil Person p/seg,Conciliada,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Prestación de Servicios de Internet,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Cobro indebido,Producto o servicio no solicitado o autorizado,3949.00,3572.00,0,Conciliación personal,Servicio,Personal,Servicio adicional o conexo,Imposición del proveedor,Contado,No problema especial
PFC.BCN.B.3/000019-2022,01/12/22,01/24/22,Turnada a Concil Person p/seg,Conciliada,"TELEFONOS DEL NOROESTE, SA DE CV",TELMEX,Empresa de telefonía local,TELECOMUNICACIONES,Zona Metropolitana de Tijuana (Baja California),Baja California,Contratos,Negativa a la rescisión,15758.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.BCN.B.3/000055-2022,01/25/22,02/10/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Metropolitana de Tijuana (Baja California),Baja California,Contratos,Negativa a la rescisión,399.00,0.00,0,Conciliación personal,Servicio,Personal,Producto nuevo,En establecimiento físico,Contado,No problema especial
PFC.BCN.B.3/000056-2022,01/25/22,02/17/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Metropolitana de Tijuana (Baja California),Baja California,Cobro indebido,Cuota extraordinaria,4258.00,4258.00,4258,Conciliación personal,Servicio,Personal,Servicio normal,Imposición del proveedor,Contado,No problema especial
PFC.BCS.B.3/000015-2022,01/26/22,06/17/22,Turnada a Concil Person p/seg,Conciliada,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Empresa de telefonía local,TELECOMUNICACIONES,Zona La Paz (Baja California Sur),Baja California Sur,Cobro indebido,Cuota extraordinaria,309.00,264.00,264,Conciliación personal,Servicio,Escrito,Servicio normal,A domicilio,Contado,No problema especial
PFC.BCS.B.3/000015-2022,01/26/22,06/17/22,Turnada a Concil Person p/seg,Conciliada,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S DE RL DE C V",DISH,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona La Paz (Baja California Sur),Baja California Sur,Cobro indebido,Cuota extraordinaria,309.00,264.00,264,Conciliación personal,Servicio,Escrito,Servicio normal,A domicilio,Contado,No problema especial
PFC.CAM.B.3/000002-2022,01/03/22,04/18/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Cobro indebido,Error de cálculo,4457.62,4457.62,4457.62,Conciliación personal,Servicio,Correo Electrónico,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CAM.B.3/000018-2022,01/07/22,02/21/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Cobro indebido,No respetó acuerdo previo,4744.00,4243.83,4243.83,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CAM.B.3/000024-2022,01/10/22,04/21/22,Turnada a Concil Person p/seg,Desistimiento,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Empresa de telefonía local,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Cobro indebido,Negativa a corregir errores,449.00,0.00,0,Conciliación personal,Servicio,Correo Electrónico,Servicio normal,Imposición del proveedor,Contado,No problema especial
PFC.CAM.B.3/000030-2022,01/11/22,02/16/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Cobro indebido,Negativa a corregir errores,499.00,5107.29,5107.29,Conciliación personal,Servicio,Correo Electrónico,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CAM.B.3/000032-2022,01/12/22,05/04/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Cobro indebido,Error de cálculo,2317.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CAM.B.3/000034-2022,01/12/22,06/02/22,Turnada a Concil Person p/seg,Conciliada,"CELULARES Y ACCESORIOS DEL SURESTE, SA DE CV",MACROCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Cobro indebido,No respetó acuerdo previo,8500.00,1874.00,1874,Conciliación personal,Bien,Personal,Producto nuevo,En establecimiento físico,Plazos,No problema especial
PFC.CAM.B.3/000036-2022,01/12/22,03/09/22,Turnada a Concil Person p/seg,No Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Cobro indebido,No respetó acuerdo previo,921.00,4423.00,0,Conciliación personal,Servicio,Correo Electrónico,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CAM.B.3/000046-2022,01/14/22,04/12/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Cobro indebido,Modificación del precio convenido o presupuestado,299.00,0.00,0,Conciliación personal,Servicio,Correo Electrónico,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CAM.B.3/000049-2022,01/17/22,02/14/22,Turnada a Concil Person p/seg,Conciliada,"CELULARES Y ACCESORIOS DEL SURESTE, SA DE CV",MACROCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Garantías,Negativa a hacerla efectiva,2358.46,1060.54,1060.54,Conciliación personal,Bien,Correo Electrónico,Producto nuevo,En establecimiento físico,Plazos,No problema especial
PFC.CAM.B.3/000053-2022,01/18/22,02/16/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Contratos,Negativa a la rescisión,279.00,0.00,0,Conciliación personal,Servicio,Correo Electrónico,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CAM.B.3/000059-2022,01/19/22,03/30/22,Turnada a Concil Person p/seg,Desistimiento,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Cobro indebido,Negativa a corregir errores,1139.87,1139.87,0,Conciliación personal,Bien,Correo Electrónico,Producto nuevo,En establecimiento físico,Contado,No problema especial
PFC.CAM.B.3/000063-2022,01/20/22,02/08/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Cobro indebido,Cuota extraordinaria,5707.00,5707.00,5707,Conciliación personal,Servicio,Personal,Servicio normal,A domicilio,Contado,No problema especial
PFC.CAM.B.3/000069-2022,01/20/22,02/18/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Cobro indebido,Negativa a corregir errores,367.53,367.53,367.53,Conciliación personal,Servicio,Correo Electrónico,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CAM.B.3/000078-2022,01/25/22,04/21/22,Turnada a Concil Person p/seg,Desistimiento,"TELECABLE DE MERIDA, SA DE CV",TELECABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Entrega del producto o servicio,Deficiencia en la reparación,260.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CAM.B.3/000084-2022,01/27/22,04/06/22,Turnada a Concil Person p/seg,Conciliada,"TCT MOBILE, SA DE CV",ALCATEL,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Golfo-Sureste (Campeche),Campeche,Garantías,Defectos de fabricación,1703.00,1703.00,1703,Conciliación personal,Bien,Personal,Producto nuevo,En establecimiento físico,Plazos,No problema especial
PFC.CDF.B.3/000017-2022,01/04/22,08/09/22,Turnada a Concil Person p/seg,Desistimiento,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Empresa de telefonía local,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,0.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000047-2022,01/05/22,-,Turnada a Concil Person p/seg,En Trámite,"ZTE CORPORATION DE MEXICO, S DE RL DE CV",ZTE,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,"Cambios, devoluciones o bonificaciones",Negativa a la devolución de depósito,189701.00,1997.01,-,Conciliación personal,Bien,Personal,Producto nuevo,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000051-2022,01/05/22,05/24/22,Turnada a Concil Person p/seg,Desistimiento,"CORPORACION NOVAVISION, S DE RL DE CV",SKY,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,427.00,5802.26,0,Conciliación personal,Servicio,Escrito,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000062-2022,01/05/22,-,Turnada a Concil Person p/seg,En Trámite,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Cobro indebido,Uso fraudulento,0.00,0.00,-,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000074-2022,01/06/22,02/24/22,Turnada a Concil Person p/seg,Conciliada,"PEGASO PCS, SA DE CV",MOVISTAR,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,50.00,0.00,50,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000097-2022,01/07/22,-,Turnada a Concil Person p/seg,En Trámite,"CORPORACION NOVAVISION, S DE RL DE CV",SKY,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Contratos,Negativa a la rescisión,449.00,0.00,-,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000120-2022,01/10/22,08/01/22,Turnada a Concil Person p/seg,Desistimiento,"CORPORACION NOVAVISION, S DE RL DE CV",SKY,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Contratos,Negativa a la rescisión,0.00,0.00,0,Conciliación personal,Servicio,Escrito,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.CDF.B.3/000122-2022,01/10/22,08/17/22,Turnada a Concil Person p/seg,No Conciliada,"DIGITAL SHOP, SA DE CV",DIMOVIL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,20208.00,0.00,0,Conciliación personal,Bien,Escrito,Producto nuevo,Por teléfono,Plazos,No problema especial
PFC.CDF.B.3/000128-2022,01/11/22,04/21/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Cobro indebido,Por alteración de precio o tarifa máximo u oficial,39924.00,0.00,39924,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000132-2022,01/11/22,-,Turnada a Concil Person p/seg,En Trámite,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Cobro indebido,Error de cálculo,1656.00,3730.00,-,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.CDF.B.3/000133-2022,01/11/22,04/21/22,Turnada a Concil Person p/seg,Desistimiento,"PEGASO PCS, SA DE CV",MOVISTAR,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Cobro indebido,Por alteración de precio o tarifa máximo u oficial,1853.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000136-2022,01/11/22,06/02/22,Turnada a Concil Person p/seg,Desistimiento,"CABLEVISION, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Contratos,Negativa a la rescisión,390.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000140-2022,01/11/22,08/01/22,Turnada a Concil Person p/seg,Desistimiento,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Cobro indebido,Uso fraudulento,0.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000143-2022,01/12/22,05/11/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Cobro indebido,Negativa a corregir errores,279.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000159-2022,01/13/22,05/12/22,Turnada a Concil Person p/seg,Conciliada,"CORPORACION NOVAVISION, S DE RL DE CV",SKY,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Cobro indebido,Negativa a corregir errores,0.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000197-2022,01/18/22,-,Turnada a Concil Person p/seg,En Trámite,"CABLEVISION, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Contratos,Negativa a la rescisión,14610.47,0.00,-,Conciliación personal,Servicio,Personal,Servicio normal,Imposición del proveedor,Contado,No problema especial
PFC.CDF.B.3/000214-2022,01/19/22,10/31/22,Turnada a Concil Person p/seg,Desistimiento,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Cobro indebido,Negativa a corregir errores,599.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,Por teléfono,Contado,No problema especial
PFC.CDF.B.3/000218-2022,01/19/22,-,Turnada a Concil Person p/seg,En Trámite,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Cobro indebido,Error de cálculo,5507.62,0.00,-,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000233-2022,01/20/22,-,Turnada a Concil Person p/seg,En Trámite,"CABLEVISION, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Cobro indebido,Negativa a corregir errores,789.00,0.00,-,Conciliación personal,Servicio,Personal,Servicio normal,Por teléfono,Contado,No problema especial
PFC.CDF.B.3/000250-2022,01/21/22,09/20/22,Turnada a Concil Person p/seg,Desistimiento,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,0.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000257-2022,01/24/22,08/22/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,"Cambios, devoluciones o bonificaciones",Negativa a cambio o devolución,2628.87,798.00,798,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000268-2022,01/24/22,08/31/22,Turnada a Concil Person p/seg,Conciliada,"HISENSE MEXICO, S DE RL DE CV,",HISENSE,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Garantías,Negativa a hacerla efectiva,0.00,0.00,5000,Conciliación personal,Bien,Personal,Producto nuevo,En establecimiento físico,Plazos,No problema especial
PFC.CDF.B.3/000274-2022,01/24/22,05/19/22,Turnada a Concil Person p/seg,Conciliada,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Empresa de telefonía local,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Entrega del producto o servicio,Deficiencia en la reparación,0.00,0.00,389,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000276-2022,01/25/22,08/29/22,Turnada a Concil Person p/seg,Conciliada,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,0.00,0.00,25999,Conciliación personal,Bien,Personal,Producto nuevo,En establecimiento físico,Plazos,No problema especial
PFC.CDF.B.3/000284-2022,01/25/22,12/15/22,Turnada a Concil Person p/seg,Desistimiento,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Cobro indebido,Cuota extraordinaria,5921.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio adicional o conexo,Por teléfono,Plazos,No problema especial
PFC.CDF.B.3/000297-2022,01/26/22,-,Turnada a Concil Person p/seg,En Trámite,"TOTAL PLAY TELECOMUNICACIONES, SA DE CV",TOTALPLAY,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Trato o servicio al cliente,Malos tratos o represalias,479.00,0.00,-,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000303-2022,01/26/22,05/23/22,Turnada a Concil Person p/seg,Conciliada,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonía celular,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,1299.00,1299.00,1299,Conciliación personal,Bien,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.CDF.B.3/000315-2022,01/27/22,03/23/22,Turnada a Concil Person p/seg,Desistimiento,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Empresa de telefonía local,TELECOMUNICACIONES,Zona Leona Vicario CDMX-Centro (Centro),Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,753.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
